loc,status,year,sex,collect,spend,cost,avg,country1,country2,type1,type2,type3
上海,733,2011,M,46,123,350,0.1,美国,英国,剧情,犯罪,传记
Toronto,281,2016,F,7,,,,,,,,
金华,77,2013,,9,,,,,,,,
武汉,1902,2011,U,187,1120,4130,0.4,中国大陆,美国,剧情,喜剧,爱情
武汉,703,2012,,7,,,,,,,,
Port-au-Prince,35807,2012,,213,1811,3150,0.6,中国大陆,美国,剧情,爱情,喜剧
深圳,3032,2009,,882,3346,10430,1.8,中国大陆,美国,剧情,喜剧,动画
香港,2418,2006,F,699,2074,14000,1.0,美国,中国大陆,剧情,动作,喜剧
上海,161,2013,F,3,,,,,,,,
北京,1741,2011,M,427,1790,13510,1.0,美国,中国大陆,剧情,喜剧,动作
上海,2278,2014,,4,,,,,,,,
Daejeon (Taejŏn),491,2011,,154,380,3780,0.4,美国,中国大陆,剧情,动作,犯罪
成都,429,2007,M,78,283,490,0.1,日本,美国,动画,动作,剧情
上海,262,2012,M,35,102,560,0.1,美国,中国大陆,剧情,音乐,爱情
,1846,2007,U,94,747,2590,0.2,中国大陆,日本,剧情,喜剧,爱情
常州,3286,2009,M,115,266,1120,0.2,美国,中国大陆,剧情,爱情,喜剧
,535,2008,,484,1704,3710,0.9,美国,香港,剧情,喜剧,动作
深圳,5237,2011,M,133,435,3290,0.3,中国大陆,美国,剧情,犯罪,动作
深圳,60,2015,M,228,484,8540,1.0,中国大陆,香港,剧情,喜剧,动作
上海,24392,2007,,18,122,210,0.0,日本,美国,喜剧,动画,冒险
上海,156,2010,U,89,218,2730,0.2,美国,中国大陆,剧情,动作,冒险
深圳,1040,2007,F,166,735,3220,0.3,美国,日本,剧情,喜剧,动作
,1186,2008,,215,691,1120,0.4,美国,日本,科幻,剧情,动画
,,,,,,,,,,,,
Timor-Leste,374,2016,F,58,114,1470,0.3,美国,中国大陆,剧情,喜剧,犯罪
,,,,,,,,,,,,
丽水,1308,2011,U,189,729,2240,0.5,美国,日本,剧情,喜剧,动画
北京,731,2008,M,94,233,1820,0.2,美国,中国大陆,剧情,动作,爱情
大连,4343,2011,M,639,3991,10010,1.5,中国大陆,美国,剧情,爱情,喜剧
上海,2242,2016,,39,79,770,0.3,中国大陆,美国,剧情,动作,历史
福州,1187,2018,,15,68,70,0.2,日本,美国,剧情,动画,喜剧
广州,435,2013,M,28,148,140,0.1,美国,德国,剧情,科幻,犯罪
,2274,2011,,803,2525,8540,2.0,美国,英国,剧情,爱情,喜剧
Fès,340,2017,,87,293,1680,1.0,中国大陆,美国,剧情,爱情,喜剧
北京,302,2017,M,93,190,2240,0.8,美国,日本,剧情,爱情,喜剧
上海,5004,2006,F,773,2863,8120,1.1,美国,英国,剧情,爱情,喜剧
北京,1462,2013,,249,981,3710,0.8,美国,日本,剧情,爱情,喜剧
北京,2385,2010,F,210,1297,5530,0.4,中国大陆,香港,剧情,喜剧,爱情
Calgary,1699,2016,U,120,575,3780,0.7,日本,美国,剧情,爱情,奇幻
昆明,8236,2009,M,843,4251,7140,1.6,美国,日本,剧情,喜剧,爱情
New York City,2549,2012,U,132,345,1050,0.4,美国,法国,剧情,爱情,喜剧
北京,3059,2011,U,904,3124,7490,2.1,美国,英国,剧情,喜剧,爱情
北京,1105,2008,F,486,1439,9940,0.8,美国,中国大陆,剧情,爱情,喜剧
Mendoza,958,2012,M,112,501,630,0.3,美国,英国,剧情,喜剧,爱情
上海,774,2010,M,285,785,10010,0.6,中国大陆,美国,剧情,喜剧,动作
,616,2007,M,84,314,840,0.1,美国,中国大陆,剧情,喜剧,爱情
重庆,369,2016,M,70,329,630,0.4,日本,美国,动画,剧情,爱情
Singapore,344,2008,,451,1070,4550,0.8,美国,英国,剧情,喜剧,冒险
上海,11782,2008,M,765,3627,8260,1.3,美国,日本,剧情,喜剧,动作
上海,12353,2011,,2941,12570,18270,7.1,美国,日本,剧情,动画,喜剧
San Francisco Bay Area,2958,2008,M,457,1381,4900,0.8,美国,中国大陆,剧情,爱情,喜剧
北京,394,2016,,62,297,1470,0.5,美国,中国大陆,剧情,冒险,奇幻
北京,620,2015,F,465,1380,14000,2.0,美国,中国大陆,剧情,动作,喜剧
石家庄,405,2016,U,147,369,2380,1.1,美国,日本,剧情,喜剧,犯罪
杭州,3474,2009,F,2899,15983,18340,5.6,日本,中国大陆,剧情,爱情,喜剧
重庆,869,2012,,84,565,350,0.2,美国,日本,动画,喜剧,剧情
北京,1016,2010,M,794,3470,10500,1.7,美国,中国大陆,动作,剧情,喜剧
郑州,2251,2010,M,217,612,910,0.6,美国,中国大陆,剧情,喜剧,爱情
成都,1744,2008,M,896,2209,11550,1.5,美国,中国大陆,剧情,喜剧,爱情
杭州,596,2011,U,60,238,630,0.1,日本,美国,剧情,爱情,喜剧
杭州,1373,2011,,197,542,2450,0.5,美国,英国,剧情,喜剧,动作
宁波,350,2015,M,0,,,,,,,,
深圳,4835,2010,M,515,2040,7980,1.1,美国,日本,剧情,爱情,动作
日照,295,2011,M,45,243,1400,0.1,中国大陆,美国,剧情,喜剧,爱情
上海,1760,2009,,385,1410,7560,0.8,美国,英国,剧情,爱情,喜剧
,3129,2009,,154,557,350,0.3,日本,美国,剧情,科幻,喜剧
香港,9614,2009,U,756,2061,6090,1.4,美国,日本,剧情,科幻,动作
San Francisco Bay Area,2604,2007,,46,161,490,0.1,美国,日本,剧情,科幻,喜剧
沈阳,1161,2015,F,268,2113,4830,1.4,美国,中国大陆,剧情,喜剧,爱情
成都,613,2009,M,245,741,6160,0.5,美国,中国大陆,剧情,动作,喜剧
福州,459,2015,F,20,38,280,0.1,美国,法国,剧情,惊悚,科幻
,,,,,,,,,,,,
上海,383,2013,,211,809,6230,0.7,美国,中国大陆,剧情,喜剧,动作
,1347,2010,,529,1235,3290,1.1,美国,日本,剧情,爱情,喜剧
